id_orden,fecha,producto,categoria,precio_unitario,cantidad,canal,ciudad,metodo_pago,total_venta,fecha_str
1036,2024-06-23,Vestido floral,Ropa,35712.34,5.0,Shopify,Madrid,Tarjeta crédito,178561.69999999998,23/06/2024
1037,2024-05-22,Short deportivo,Ropa,21908.9,3.0,MercadoLibre,Madrid,Tarjeta débito,65726.70000000001,22/05/2024
1038,2024-03-20,Buzo hoodie,Ropa,56817.67,5.0,MercadoLibre,Madrid,Transferencia,284088.35,20/03/2024
1039,2024-04-20,JEAN SLIM,Ropa,36220.08,1.0,Shopify,Córdoba,Transferencia,36220.08,20/04/2024
1040,2024-06-21,Buzo hoodie,Ropa,54132.05,-1.0,MercadoLibre,Mar del Plata,Transferencia,108264.1,21/06/2024
1041,2024-02-22,Medias pack x3,Accesorios,8080.2,4.0,Shopify,Rosario,Efectivo,32320.8,22/02/2024
1042,2024-02-17,Jean slim,Ropa,47698.38,1.0,MercadoLibre,Mar del Plata,Efectivo,47698.38,17/02/2024
1043,2024-07-13,Medias pack x3,Accesorios,8342.91,4.0,Shopify,Lima,Tarjeta débito,33371.64,13/07/2024
1044,2024-02-19,Zapatillas running,Calzado,82023.09,2.0,Shopify,Mendoza,Tarjeta débito,164046.18,19/02/2024
1045,2024-07-02,Campera impermeable,Ropa,75807.26,2.0,MercadoLibre,Mendoza,Tarjeta débito,151614.52,02/07/2024
1046,2024-06-25,Gorra snapback,Accesorios,19374.36,1.0,Shopify,Santiago,Tarjeta crédito,19374.36,25/06/2024
1047,2024-11-05,Cinturón cuero,Accesorios,25009.29,2.0,Tiendanube,Madrid,Transferencia,50018.58,05/11/2024
1048,2024-05-15,Zapatillas running,Calzado,92200.54,5.0,MercadoLibre,Córdoba,Tarjeta crédito,461002.69999999995,15/05/2024
1049,2024-01-23,Short deportivo,Ropa,23509.48,2.0,Shopify,Mendoza,Transferencia,47018.96,23/01/2024
1050,2024-08-23,Medias pack x3,Accesorios,7822.16,4.0,MercadoLibre,Ciudad de México,Tarjeta crédito,31288.64,23/08/2024
1051,2024-10-01,Remera básica,Ropa,13829.2,4.0,MercadoLibre,Santiago,Tarjeta débito,55316.8,01/10/2024
1052,2024-03-04,Jean slim,Ropa,41470.92,4.0,Tiendanube,Rosario,Tarjeta crédito,165883.68,04/03/2024
1053,2024-07-12,Jean slim,Ropa,40690.37,4.0,Tiendanube,Mendoza,Tarjeta débito,162761.48,12/07/2024
1054,2024-02-10,Medias pack x3,Accesorios,7448.87,5.0,MercadoLibre,Ciudad de México,Transferencia,37244.35,10/02/2024
1055,2024-10-09,Medias pack x3,Accesorios,8000.0,3.0,Shopify,Córdoba,Tarjeta crédito,24000.0,09/10/2024
1056,2024-05-30,Jean slim,Ropa,47406.46,1.0,WooCommerce,Bogotá,Transferencia,47406.46,30/05/2024
1057,2024-11-17,Buzo hoodie,Ropa,52101.55,4.0,MercadoLibre,Madrid,Tarjeta crédito,208406.2,17/11/2024
1058,2024-11-12,Jean slim,Ropa,46604.79,2.0,Tiendanube,Madrid,Transferencia,93209.58,12/11/2024
1059,2024-07-04,Cinturón cuero,Accesorios,24210.7,4.0,WooCommerce,Mendoza,Tarjeta crédito,96842.8,04/07/2024
1060,2024-10-22,Campera impermeable,Ropa,78860.71,2.0,MercadoLibre,Córdoba,Tarjeta débito,157721.42,fecha_invalida
1061,2024-04-08,Vestido floral,Ropa,39804.48,2.0,Shopify,Madrid,Tarjeta crédito,79608.96,08/04/2024
1062,2024-12-26,Medias pack x3,Accesorios,7894.93,4.0,MercadoLibre,Lima,Tarjeta crédito,31579.72,26/12/2024
1063,2024-02-05,Medias pack x3,Accesorios,7663.15,5.0,Tiendanube,Córdoba,Transferencia,38315.75,05/02/2024
1064,2024-01-24,Jean slim,Ropa,44873.36,2.0,,Córdoba,Tarjeta crédito,89746.72,24/01/2024
1065,2024-12-04,Vestido floral,Ropa,39982.84,2.0,Shopify,Mar del Plata,Tarjeta crédito,79965.68,04/12/2024
1066,2024-04-26,Cinturón cuero,Accesorios,23738.74,4.0,MercadoLibre,Mendoza,Tarjeta débito,94954.96,26/04/2024
1067,2024-05-28,Gorra snapback,Accesorios,-3872.739035748829,2.0,MercadoLibre,Rosario,Tarjeta débito,33497.96,28/05/2024
1068,2024-02-10,Short deportivo,Ropa,22049.46,2.0,MercadoLibre,Bogotá,Tarjeta crédito,44098.92,10/02/2024
1069,2024-04-29,Medias pack x3,Accesorios,7599.15,4.0,MercadoLibre,Buenos Aires,Transferencia,30396.6,29/04/2024
1070,2024-02-21,Vestido floral,Ropa,40027.13,4.0,MercadoLibre,Madrid,Tarjeta débito,160108.52,21/02/2024
1071,2024-07-13,Buzo hoodie,Ropa,59005.83,1.0,MercadoLibre,Córdoba,Efectivo,59005.83,13/07/2024
1072,2024-05-22,Cinturón cuero,Accesorios,27471.29,5.0,Shopify,Santiago,Tarjeta crédito,137356.45,22/05/2024
1073,2024-08-20,Jean slim,Ropa,42726.19,5.0,Shopify,Rosario,Transferencia,213630.95,20/08/2024
1074,2024-11-21,Vestido floral,Ropa,40436.63,2.0,MercadoLibre,Santiago,Tarjeta débito,80873.26,21/11/2024
1075,2024-07-05,Short deportivo,Ropa,20673.01,5.0,MercadoLibre,Ciudad de México,Transferencia,103365.04999999999,05/07/2024
1076,2024-03-24,Remera básica,Ropa,15619.38,2.0,MercadoLibre,Buenos Aires,Tarjeta crédito,31238.76,24/03/2024
1077,2024-07-08,Cinturón cuero,Accesorios,26549.76,1.0,MercadoLibre,Madrid,Tarjeta débito,26549.76,08/07/2024
1078,2024-06-30,Gorra snapback,Accesorios,18724.12,4.0,Tiendanube,Santiago,Tarjeta crédito,74896.48,30/06/2024
1079,2024-04-17,Vestido floral,Ropa,38017.74,4.0,Shopify,Córdoba,Tarjeta crédito,152070.96,17/04/2024
1080,2024-12-09,Short deportivo,Ropa,20597.23,4.0,Tiendanube,Bogotá,Tarjeta débito,82388.92,09/12/2024
1081,2024-05-16,Cinturón cuero,Accesorios,27462.76,5.0,MercadoLibre,Buenos Aires,Tarjeta débito,137313.8,16/05/2024
1082,2024-12-25,Jean slim,Ropa,45820.77,1.0,Shopify,Mar del Plata,Tarjeta crédito,45820.77,25/12/2024
1083,2024-12-15,Short deportivo,Ropa,22591.7,5.0,MercadoLibre,Bogotá,Tarjeta crédito,112958.5,15/12/2024
1084,2024-11-27,Medias pack x3,Accesorios,7567.01,5.0,Shopify,Santiago,Tarjeta crédito,37835.05,27/11/2024
1085,2024-02-06,Jean slim,Ropa,41690.66,1.0,MercadoLibre,Rosario,Tarjeta débito,41690.66,06/02/2024
1086,2024-11-07,Campera impermeable,Ropa,65352.48,1.0,WooCommerce,Santiago,Tarjeta débito,65352.48,07/11/2024
1087,2024-11-21,Buzo hoodie,Ropa,60394.39,1.0,Shopify,Mar del Plata,Tarjeta crédito,60394.39,21/11/2024
1088,2024-03-28,Gorra snapback,Accesorios,19544.75,1.0,Tiendanube,Madrid,Efectivo,19544.75,28/03/2024
1089,2024-09-30,Short deportivo,Ropa,21675.73,4.0,Shopify,Ciudad de México,Tarjeta crédito,86702.92,30/09/2024
1090,2024-05-05,Campera impermeable,Ropa,73677.13,3.0,MercadoLibre,Córdoba,Transferencia,221031.39,05/05/2024
1091,2024-03-24,Cinturón cuero,Accesorios,22954.68,3.0,Shopify,Mendoza,Tarjeta crédito,68864.04000000001,24/03/2024
1092,2024-08-24,Cinturón cuero,Accesorios,22754.78,1.0,Shopify,Lima,Tarjeta crédito,22754.78,24/08/2024
1093,2024-07-13,Medias pack x3,Accesorios,7851.68,3.0,Tiendanube,Rosario,Transferencia,23555.04,13/07/2024
1094,2024-05-18,Zapatillas running,Calzado,81709.58,3.0,Shopify,Córdoba,Efectivo,245128.74,18/05/2024
1095,2024-11-23,Cinturón cuero,Accesorios,25666.55,1.0,MercadoLibre,Lima,Tarjeta crédito,25666.55,23/11/2024
1096,2024-12-18,Cinturón cuero,Accesorios,23657.14,3.0,Tiendanube,Ciudad de México,Tarjeta crédito,70971.42,18/12/2024
1097,2024-10-12,Vestido floral,Ropa,36754.95,5.0,Shopify,Lima,Tarjeta crédito,183774.75,12/10/2024
1098,2024-04-22,Jean slim,Ropa,44812.76,2.0,Tiendanube,Buenos Aires,Tarjeta crédito,89625.52,22/04/2024
1099,2024-12-16,Vestido floral,Ropa,38074.96,2.0,,Rosario,Tarjeta débito,76149.92,16/12/2024
1100,2024-06-15,Medias pack x3,Accesorios,8230.2,1.0,Tiendanube,Bogotá,Transferencia,8230.2,15/06/2024
1101,2024-01-29,Medias pack x3,Accesorios,7686.86,4.0,MercadoLibre,Ciudad de México,Tarjeta débito,30747.44,29/01/2024
1102,2024-04-27,Zapatillas running,Calzado,81077.18,1.0,MercadoLibre,Ciudad de México,Transferencia,81077.18,27/04/2024
1103,2024-01-17,Medias pack x3,Accesorios,7648.89,4.0,Shopify,Mar del Plata,Efectivo,30595.56,17/01/2024
1104,2024-06-10,Gorra snapback,Accesorios,17463.69,2.0,MercadoLibre,Santiago,Tarjeta débito,34927.38,10/06/2024
1105,2024-07-24,Medias pack x3,Accesorios,7868.92,1.0,MercadoLibre,,Transferencia,7868.92,24/07/2024
1106,2024-05-17,Cinturón cuero,Accesorios,24099.2,5.0,MercadoLibre,Santiago,Efectivo,120496.0,17/05/2024
1107,2024-02-03,Buzo hoodie,Ropa,50023.12,3.0,Shopify,Bogotá,Tarjeta crédito,150069.36000000002,03/02/2024
1108,2024-04-18,Zapatillas running,Calzado,77195.12,4.0,Shopify,Buenos Aires,Tarjeta crédito,308780.48,18/04/2024
1109,2024-10-17,Buzo hoodie,Ropa,50073.44,3.0,MercadoLibre,Lima,Tarjeta débito,150220.32,17/10/2024
1110,2024-06-10,Zapatillas running,Calzado,89160.83,3.0,WooCommerce,Mendoza,Transferencia,267482.49,10/06/2024
1111,2024-04-18,Campera impermeable,Ropa,67852.48,1.0,MercadoLibre,Rosario,Tarjeta crédito,67852.48,18/04/2024
1112,2024-12-01,Buzo hoodie,Ropa,54692.64,3.0,Tiendanube,Santiago,Transferencia,164077.91999999998,01/12/2024
1113,2024-09-12,Cinturón cuero,Accesorios,27042.41,5.0,Shopify,Ciudad de México,Tarjeta débito,135212.05,12/09/2024
1114,2024-07-21,Buzo hoodie,Ropa,50608.38,3.0,Tiendanube,Córdoba,Tarjeta crédito,151825.13999999998,21/07/2024
1115,2024-11-25,Cinturón cuero,Accesorios,23424.2,1.0,MercadoLibre,Mar del Plata,Tarjeta débito,23424.2,25/11/2024
1116,2024-08-22,Short deportivo,Ropa,23972.64,5.0,MercadoLibre,Santiago,Tarjeta débito,119863.2,22/08/2024
1117,2024-03-14,Buzo hoodie,Ropa,53499.39,2.0,MercadoLibre,Madrid,Tarjeta crédito,106998.78,14/03/2024
1118,2024-05-15,Campera impermeable,Ropa,69182.74,3.0,Shopify,Lima,Tarjeta crédito,207548.22000000003,15/05/2024
1119,2024-03-12,Jean slim,Ropa,41371.98,1.0,Tiendanube,Mar del Plata,Tarjeta crédito,41371.98,12/03/2024
1120,2024-05-06,Campera impermeable,Ropa,64996.73,2.0,WooCommerce,Santiago,Transferencia,129993.46,06/05/2024
1121,2024-10-14,Vestido floral,Ropa,38393.44,2.0,MercadoLibre,Santiago,Tarjeta débito,76786.88,14/10/2024
1122,2024-10-02,Short deportivo,Ropa,23592.69,4.0,MercadoLibre,Mar del Plata,Tarjeta crédito,94370.76,02/10/2024
1123,2024-05-14,Buzo hoodie,Ropa,53143.33,5.0,MercadoLibre,Ciudad de México,Tarjeta débito,265716.65,14/05/2024
1124,2024-10-26,Vestido floral,Ropa,39833.82,3.0,MercadoLibre,Buenos Aires,Transferencia,119501.45999999999,26/10/2024
1125,2024-08-07,Medias pack x3,Accesorios,7778.22,1.0,WooCommerce,Córdoba,Tarjeta débito,7778.22,07/08/2024
1126,2024-10-25,Gorra snapback,Accesorios,19003.71,4.0,Shopify,Mar del Plata,Tarjeta crédito,76014.84,25/10/2024
1127,2024-07-23,Zapatillas running,Calzado,85490.66,5.0,MercadoLibre,Mar del Plata,Tarjeta crédito,427453.30000000005,23/07/2024
1128,2024-07-04,Gorra snapback,Accesorios,17537.73,4.0,,Bogotá,Transferencia,70150.92,04/07/2024
1129,2024-04-22,Gorra snapback,Accesorios,18540.89,5.0,Shopify,Buenos Aires,Tarjeta crédito,92704.45,22/04/2024
1130,2024-03-11,Short deportivo,Ropa,20724.15,5.0,Shopify,Córdoba,Efectivo,103620.75,11/03/2024
1131,2024-09-17,Remera básica,Ropa,14652.15,3.0,Tiendanube,Ciudad de México,Tarjeta débito,43956.45,17/09/2024
1132,2024-09-09,Jean slim,Ropa,48484.74,5.0,Tiendanube,Mar del Plata,Tarjeta crédito,242423.69999999998,09/09/2024
1133,2024-02-16,Buzo hoodie,Ropa,50935.34,4.0,WooCommerce,Madrid,Tarjeta débito,203741.36,16/02/2024
1134,2024-01-25,Jean slim,Ropa,47183.29,5.0,MercadoLibre,Córdoba,Tarjeta crédito,235916.45,25/01/2024
1135,2024-02-26,Medias pack x3,Accesorios,7392.57,3.0,Tiendanube,Rosario,Tarjeta crédito,22177.71,26/02/2024
1136,2024-03-19,Jean slim,Ropa,45779.05,3.0,MercadoLibre,Lima,Tarjeta débito,137337.15000000002,19/03/2024
1137,2024-11-17,Zapatillas running,Calzado,92007.01,4.0,WooCommerce,Mendoza,Tarjeta crédito,368028.04,17/11/2024
1138,2024-03-22,Zapatillas running,Calzado,87624.04,2.0,MercadoLibre,Lima,Tarjeta débito,175248.08,22/03/2024
1139,2024-12-14,Gorra snapback,Accesorios,16885.56,2.0,Tiendanube,Córdoba,Tarjeta crédito,33771.12,14/12/2024
1140,2024-08-04,Buzo hoodie,Ropa,57251.26,5.0,MercadoLibre,Santiago,Transferencia,286256.3,04/08/2024
1141,2024-11-01,Zapatillas running,Calzado,92233.51,1.0,MercadoLibre,Buenos Aires,Efectivo,92233.51,01/11/2024
1142,2024-02-02,Medias pack x3,Accesorios,7319.81,5.0,WooCommerce,Mar del Plata,Efectivo,36599.05,02/02/2024
1143,2024-07-16,Remera básica,Ropa,15139.74,4.0,Shopify,Bogotá,Tarjeta débito,60558.96,16/07/2024
1144,2024-07-14,Gorra snapback,Accesorios,17434.43,4.0,MercadoLibre,Lima,Tarjeta crédito,69737.72,14/07/2024
1145,2024-11-01,Jean slim,Ropa,47028.16,4.0,WooCommerce,Santiago,Tarjeta crédito,188112.64,01/11/2024
1146,2024-08-27,Gorra snapback,Accesorios,19762.72,4.0,MercadoLibre,Lima,Transferencia,79050.88,27/08/2024
1147,2024-09-27,Medias pack x3,Accesorios,7523.2,4.0,WooCommerce,Madrid,Tarjeta débito,30092.8,27/09/2024
1148,2024-05-08,Gorra snapback,Accesorios,18794.77,3.0,MercadoLibre,Mendoza,Transferencia,56384.31,08/05/2024
1149,2024-10-10,Medias pack x3,Accesorios,7270.1,2.0,MercadoLibre,Mendoza,Tarjeta débito,14540.2,10/10/2024
1150,2024-01-06,Short deportivo,Ropa,20643.51,4.0,Shopify,Buenos Aires,Tarjeta crédito,82574.04,06/01/2024
1151,2024-12-14,Zapatillas running,Calzado,85858.43,1.0,MercadoLibre,Córdoba,Tarjeta crédito,85858.43,14/12/2024
1152,2024-02-28,Medias pack x3,Accesorios,7604.04,1.0,MercadoLibre,Ciudad de México,Tarjeta crédito,7604.04,28/02/2024
1153,2024-12-15,Medias pack x3,Accesorios,8603.32,1.0,MercadoLibre,Córdoba,Tarjeta crédito,8603.32,15/12/2024
1154,2024-10-01,Zapatillas running,Calzado,91008.45,1.0,Tiendanube,Lima,Transferencia,91008.45,01/10/2024
1155,2024-05-16,Buzo hoodie,Ropa,59474.96,3.0,Tiendanube,Bogotá,Transferencia,178424.88,16/05/2024
1156,2024-11-24,Cinturón cuero,Accesorios,27375.63,1.0,WooCommerce,Mar del Plata,Tarjeta crédito,27375.63,24/11/2024
1157,2024-06-23,Campera impermeable,Ropa,77686.75,4.0,WooCommerce,Mar del Plata,Tarjeta débito,310747.0,23/06/2024
1158,2024-02-27,,Accesorios,24742.41,5.0,MercadoLibre,Mendoza,Tarjeta débito,123712.05,27/02/2024
1159,2024-05-30,Cinturón cuero,Accesorios,26086.63,1.0,Shopify,Mar del Plata,Tarjeta crédito,26086.63,30/05/2024
1160,2024-08-10,Campera impermeable,Ropa,77916.23,3.0,WooCommerce,Córdoba,Tarjeta crédito,233748.69,10/08/2024
1161,2024-03-21,Short deportivo,Ropa,20097.92,3.0,WooCommerce,Lima,Tarjeta crédito,60293.759999999995,21/03/2024
1162,2024-08-20,Remera básica,Ropa,14757.01,1.0,MercadoLibre,Córdoba,Transferencia,14757.01,20/08/2024
1163,2024-01-02,Zapatillas running,Calzado,92332.65,5.0,Tiendanube,Bogotá,Tarjeta crédito,461663.25,02/01/2024
1164,2024-05-14,Buzo hoodie,Ropa,55042.56,1.0,MercadoLibre,Mendoza,Tarjeta débito,55042.56,14/05/2024
1165,2024-09-13,Medias pack x3,Accesorios,7235.0,3.0,Tiendanube,Rosario,Transferencia,21705.0,13/09/2024
1166,2024-04-01,Gorra snapback,Accesorios,18356.95,2.0,MercadoLibre,Bogotá,Transferencia,36713.9,01/04/2024
1167,2024-09-16,Gorra snapback,Accesorios,18708.14,4.0,MercadoLibre,Bogotá,Tarjeta débito,74832.56,16/09/2024
1168,2024-02-24,Cinturón cuero,Accesorios,23144.67,3.0,Tiendanube,Mar del Plata,Tarjeta crédito,69434.01,24/02/2024
1169,2024-11-16,Medias pack x3,Accesorios,7272.71,1.0,MercadoLibre,Buenos Aires,Tarjeta crédito,7272.71,16/11/2024
1170,2024-06-01,Buzo hoodie,Ropa,55727.92,4.0,MercadoLibre,Mar del Plata,Transferencia,222911.68,01/06/2024
1171,2024-11-23,Medias pack x3,Accesorios,8471.02,1.0,Shopify,Mar del Plata,Transferencia,8471.02,23/11/2024
1172,2024-09-16,Short deportivo,Ropa,22852.73,1.0,Tiendanube,Mendoza,Efectivo,22852.73,16/09/2024
1173,2024-11-07,Buzo hoodie,Ropa,57647.87,2.0,Tiendanube,Santiago,Tarjeta crédito,115295.74,07/11/2024
1174,2024-04-11,Medias pack x3,Accesorios,7835.99,4.0,MercadoLibre,Bogotá,Transferencia,31343.96,11/04/2024
1175,2024-03-19,Cinturón cuero,Accesorios,25923.47,4.0,WooCommerce,Mendoza,Transferencia,103693.88,19/03/2024
1176,2024-07-10,,Calzado,91294.35,2.0,MercadoLibre,Santiago,Tarjeta crédito,182588.7,10/07/2024
1177,2024-03-23,Jean slim,Ropa,49243.85,3.0,MercadoLibre,Bogotá,Tarjeta crédito,147731.55,23/03/2024
1178,2024-10-03,Buzo hoodie,Ropa,51320.7,1.0,WooCommerce,Mendoza,Efectivo,51320.7,03/10/2024
1179,2024-09-28,Jean slim,Ropa,47256.55,5.0,Tiendanube,Buenos Aires,Tarjeta crédito,236282.75,28/09/2024
1180,2024-01-01,Jean slim,Ropa,43957.35,1.0,Shopify,Madrid,Tarjeta crédito,43957.35,01/01/2024
1181,2024-11-02,Short deportivo,Ropa,23229.24,1.0,MercadoLibre,Rosario,Tarjeta crédito,23229.24,02/11/2024
1182,2024-06-14,Campera impermeable,Ropa,70572.23,3.0,Shopify,Rosario,Transferencia,211716.69,14/06/2024
1183,2024-09-07,Vestido floral,Ropa,36263.36,1.0,MercadoLibre,Buenos Aires,Tarjeta débito,36263.36,07/09/2024
1184,2024-01-10,Short deportivo,Ropa,20609.89,2.0,MercadoLibre,Madrid,Tarjeta crédito,41219.78,10/01/2024
1185,2024-02-27,Jean slim,Ropa,41940.03,2.0,MercadoLibre,Lima,Tarjeta crédito,83880.06,27/02/2024
1186,2024-07-04,Short deportivo,Ropa,20758.35,4.0,MercadoLibre,Rosario,Tarjeta crédito,83033.4,fecha_invalida
1187,2024-06-06,Zapatillas running,Calzado,88344.27,5.0,MercadoLibre,Ciudad de México,Tarjeta crédito,441721.35000000003,06/06/2024
1188,2024-05-02,Campera impermeable,Ropa,77459.83,1.0,WooCommerce,Rosario,Efectivo,77459.83,02/05/2024
1189,2024-01-30,Medias pack x3,Accesorios,8465.04,1.0,Tiendanube,Córdoba,Transferencia,8465.04,30/01/2024
1190,2024-05-03,Jean slim,Ropa,44598.97,3.0,Shopify,Madrid,Tarjeta débito,133796.91,03/05/2024
1191,2024-10-17,Jean slim,Ropa,46869.79,2.0,MercadoLibre,Madrid,Tarjeta crédito,93739.58,17/10/2024
1192,2024-02-10,Campera impermeable,Ropa,72361.05,5.0,MercadoLibre,Buenos Aires,Tarjeta débito,361805.25,10/02/2024
1193,2024-02-13,Remera básica,Ropa,14410.23,4.0,MercadoLibre,Ciudad de México,Efectivo,57640.92,13/02/2024
1194,2024-09-05,Cinturón cuero,Accesorios,23601.68,2.0,MercadoLibre,Mendoza,Tarjeta crédito,47203.36,05/09/2024
1195,2024-02-05,Buzo hoodie,Ropa,57290.8,4.0,MercadoLibre,Bogotá,Tarjeta débito,229163.2,05/02/2024
1196,2024-09-29,Buzo hoodie,Ropa,55573.66,3.0,Shopify,Lima,Tarjeta crédito,166720.98,29/09/2024
1197,2024-03-05,Vestido floral,Ropa,35500.43,3.0,Tiendanube,Lima,Tarjeta crédito,106501.29000000001,05/03/2024
1198,2024-03-06,Short deportivo,Ropa,20000.69,1.0,MercadoLibre,Buenos Aires,Transferencia,20000.69,06/03/2024
1199,2024-12-03,Campera impermeable,Ropa,68230.32,5.0,MercadoLibre,Ciudad de México,Tarjeta débito,341151.60000000003,03/12/2024
1200,2024-08-31,Medias pack x3,Accesorios,7262.55,4.0,MercadoLibre,Mar del Plata,Tarjeta crédito,29050.2,31/08/2024
1201,2024-10-08,Campera impermeable,Ropa,66933.21,2.0,Shopify,Lima,Tarjeta débito,133866.42,08/10/2024
1202,2024-03-25,Zapatillas running,Calzado,91521.24,3.0,Tiendanube,Bogotá,Tarjeta débito,274563.72000000003,25/03/2024
1203,2024-05-15,Jean slim,Ropa,48845.23,1.0,Tiendanube,Bogotá,Tarjeta crédito,48845.23,15/05/2024
1204,2024-09-27,Remera básica,Ropa,14311.3,1.0,MercadoLibre,Mar del Plata,Efectivo,14311.3,27/09/2024
1205,2024-11-06,Short deportivo,Ropa,23278.73,4.0,Shopify,Córdoba,Transferencia,93114.92,06/11/2024
1206,2024-08-04,Vestido floral,Ropa,39082.34,3.0,Shopify,Ciudad de México,Tarjeta débito,117247.01999999999,04/08/2024
1207,2024-04-18,Short deportivo,Ropa,20895.64,5.0,Shopify,Santiago,Tarjeta crédito,104478.2,18/04/2024
1208,2024-10-03,Remera básica,Ropa,15970.23,3.0,WooCommerce,Santiago,Tarjeta crédito,47910.69,03/10/2024
1209,2024-12-19,Zapatillas running,Calzado,85588.11,4.0,WooCommerce,Rosario,Transferencia,342352.44,19/12/2024
1210,2024-04-12,Zapatillas running,Calzado,76523.8,4.0,MercadoLibre,Mendoza,Tarjeta crédito,306095.2,12/04/2024
1211,2024-06-08,Campera impermeable,Ropa,69803.45,3.0,Shopify,Mendoza,Tarjeta débito,209410.34999999998,08/06/2024
